Weather,Event,Skin_Tone,Outfit
Cold,Gym,Light,Hoodie + Joggers
Hot,Party,Light,Linen Blazer + T-shirt
Moderate,Casual,Light,T-shirt + Jeans
Cold,Wedding,Light,Velvet Bandhgala
Moderate,Party,Light,Casual Blazer + Jeans
Hot,Wedding,Light,Linen Suit
Cold,Party,Light,Overcoat + Boots
Cold,Gym,Light,Full Sleeve Dri-Fit + Track Pants
Moderate,Party,Medium,Party Wear Shirt + Chinos
Cold,Party,Light,Velvet Blazer + Trousers
Rainy,Wedding,Dark,Dark Suit (Avoid Velvets)
Hot,Party,Light,Printed Half-Sleeve Shirt + Jeans
Hot,Party,Dark,Linen Blazer + T-shirt
Hot,Casual,Dark,Graphic Tee + Cargo Shorts
Hot,Office,Light,Cotton Formal Shirt + Chinos
Moderate,Wedding,Medium,Traditional Kurta Pajama
Hot,Gym,Medium,Dri-Fit Tee + Shorts
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Moderate,Casual,Dark,Checkered Shirt + Chinos
Cold,Office,Dark,Turtleneck + Trousers
Rainy,Office,Dark,Dark Shirt + Trousers + Raincoat
Cold,Casual,Light,Hoodie + Jeans
Moderate,Gym,Medium,Polyester Tee + Joggers
Hot,Wedding,Light,Light Cotton Kurta
Rainy,Wedding,Dark,Short Kurta + Trousers
Hot,Office,Dark,Half-Sleeve Formal Shirt
Rainy,Gym,Light,Synthetic T-shirt + Shorts
Moderate,Party,Light,Party Wear Shirt + Chinos
Hot,Casual,Dark,Graphic Tee + Cargo Shorts
Moderate,Party,Light,Party Wear Shirt + Chinos
Cold,Party,Medium,Velvet Blazer + Trousers
Hot,Gym,Dark,Sleeveless Tank + Shorts
Hot,Party,Medium,Linen Blazer + T-shirt
Cold,Casual,Medium,Sweatshirt + Joggers
Moderate,Gym,Dark,Polyester Tee + Joggers
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Cold,Wedding,Dark,Sherwani + Shawl
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Hot,Office,Light,Cotton Formal Shirt + Chinos
Rainy,Wedding,Light,Dark Suit (Avoid Velvets)
Hot,Wedding,Dark,Pastel Waistcoat Set
Moderate,Office,Medium,Business Casual Blazer + Chinos
Moderate,Party,Medium,Solid Shirt + Trousers
Cold,Casual,Medium,Denim Jacket + Jeans
Rainy,Gym,Medium,Synthetic T-shirt + Shorts
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Hot,Wedding,Dark,Pastel Waistcoat Set
Cold,Party,Light,Velvet Blazer + Trousers
Cold,Party,Light,Overcoat + Boots
Moderate,Gym,Medium,Polyester Tee + Joggers
Cold,Gym,Light,Hoodie + Joggers
Moderate,Party,Dark,Party Wear Shirt + Chinos
Rainy,Gym,Light,Synthetic T-shirt + Shorts
Moderate,Party,Medium,Party Wear Shirt + Chinos
Moderate,Party,Light,Solid Shirt + Trousers
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Rainy,Wedding,Dark,Dark Suit (Avoid Velvets)
Hot,Casual,Light,Cotton Polo + Chinos
Cold,Wedding,Dark,Velvet Bandhgala
Rainy,Casual,Medium,Dark T-shirt + Nylon Pants
Cold,Party,Light,Velvet Blazer + Trousers
Hot,Party,Medium,Printed Half-Sleeve Shirt + Jeans
Cold,Wedding,Medium,Velvet Bandhgala
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Hot,Casual,Light,Graphic Tee + Cargo Shorts
Cold,Wedding,Light,3-Piece Suit
Rainy,Casual,Medium,Waterproof Jacket + Shorts
Cold,Party,Medium,Leather Jacket + Jeans
Rainy,Wedding,Dark,Dark Suit (Avoid Velvets)
Cold,Wedding,Light,Sherwani + Shawl
Rainy,Gym,Medium,Synthetic T-shirt + Shorts
Moderate,Office,Light,Formal Shirt + Trousers
Cold,Casual,Medium,Denim Jacket + Jeans
Hot,Casual,Dark,Graphic Tee + Cargo Shorts
Rainy,Office,Light,Dark Shirt + Trousers + Raincoat
Hot,Office,Medium,Half-Sleeve Formal Shirt
Hot,Office,Dark,Cotton Formal Shirt + Chinos
Hot,Wedding,Medium,Pastel Waistcoat Set
Moderate,Wedding,Dark,Bandhgala Suit
Cold,Casual,Dark,Hoodie + Jeans
Moderate,Casual,Light,T-shirt + Jeans
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Hot,Casual,Light,Linen Shirt + Jeans
Cold,Casual,Medium,Hoodie + Jeans
Moderate,Casual,Medium,Henley + Jeans
Cold,Office,Dark,Suit with Tie
Moderate,Wedding,Medium,Waistcoat Set
Cold,Wedding,Dark,Sherwani + Shawl
Moderate,Office,Light,Formal Shirt + Trousers
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Moderate,Gym,Dark,T-shirt + Track Pants
Moderate,Gym,Medium,Polyester Tee + Joggers
Hot,Party,Dark,Polo T-shirt + Trousers
Cold,Wedding,Light,Velvet Bandhgala
Hot,Office,Medium,Half-Sleeve Formal Shirt
Moderate,Wedding,Medium,Bandhgala Suit
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Hot,Party,Dark,Polo T-shirt + Trousers
Hot,Gym,Dark,Sleeveless Tank + Shorts
Hot,Wedding,Light,Pastel Waistcoat Set
Moderate,Office,Medium,Business Casual Blazer + Chinos
Moderate,Casual,Light,Checkered Shirt + Chinos
Moderate,Gym,Light,T-shirt + Track Pants
Moderate,Casual,Dark,Henley + Jeans
Cold,Office,Dark,Suit with Tie
Cold,Wedding,Light,Velvet Bandhgala
Moderate,Casual,Medium,Henley + Jeans
Hot,Wedding,Light,Pastel Waistcoat Set
Moderate,Wedding,Dark,Bandhgala Suit
Moderate,Party,Dark,Solid Shirt + Trousers
Hot,Wedding,Dark,Linen Suit
Moderate,Party,Medium,Party Wear Shirt + Chinos
Hot,Wedding,Light,Pastel Waistcoat Set
Cold,Office,Medium,Formal Shirt + Sweater
Hot,Party,Medium,Linen Blazer + T-shirt
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Moderate,Gym,Dark,Polyester Tee + Joggers
Cold,Party,Light,Velvet Blazer + Trousers
Hot,Gym,Light,Dri-Fit Tee + Shorts
Hot,Wedding,Dark,Pastel Waistcoat Set
Hot,Casual,Medium,Cotton Polo + Chinos
Rainy,Wedding,Medium,Short Kurta + Trousers
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Hot,Party,Dark,Printed Half-Sleeve Shirt + Jeans
Moderate,Casual,Medium,T-shirt + Jeans
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Moderate,Wedding,Medium,Waistcoat Set
Cold,Wedding,Medium,Velvet Bandhgala
Moderate,Party,Dark,Party Wear Shirt + Chinos
Moderate,Party,Dark,Party Wear Shirt + Chinos
Cold,Office,Dark,Formal Shirt + Sweater
Hot,Gym,Light,Sleeveless Tank + Shorts
Cold,Wedding,Dark,3-Piece Suit
Rainy,Wedding,Light,Short Kurta + Trousers
Cold,Gym,Dark,Hoodie + Joggers
Moderate,Casual,Dark,Denim Shirt + Khakis
Cold,Office,Light,Formal Shirt + Sweater
Moderate,Casual,Medium,Denim Shirt + Khakis
Hot,Gym,Medium,Dri-Fit Tee + Shorts
Cold,Gym,Medium,Hoodie + Joggers
Rainy,Gym,Light,Synthetic T-shirt + Shorts
Moderate,Gym,Dark,Polyester Tee + Joggers
Hot,Casual,Light,Graphic Tee + Cargo Shorts
Moderate,Gym,Medium,T-shirt + Track Pants
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Cold,Party,Medium,Leather Jacket + Jeans
Moderate,Office,Medium,Business Casual Blazer + Chinos
Moderate,Casual,Light,Henley + Jeans
Cold,Party,Light,Overcoat + Boots
Cold,Gym,Dark,Hoodie + Joggers
Rainy,Gym,Medium,Synthetic T-shirt + Shorts
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Cold,Office,Dark,Formal Shirt + Sweater
Moderate,Wedding,Medium,Traditional Kurta Pajama
Moderate,Wedding,Dark,Waistcoat Set
Cold,Casual,Medium,Hoodie + Jeans
Moderate,Wedding,Dark,Bandhgala Suit
Cold,Wedding,Light,Sherwani + Shawl
Cold,Casual,Light,Puffer Jacket + Chinos
Hot,Casual,Light,Cotton Polo + Chinos
Hot,Wedding,Medium,Light Cotton Kurta
Hot,Gym,Medium,Sleeveless Tank + Shorts
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Hot,Wedding,Light,Light Cotton Kurta
Cold,Wedding,Light,Sherwani + Shawl
Cold,Gym,Light,Full Sleeve Dri-Fit + Track Pants
Hot,Party,Light,Printed Half-Sleeve Shirt + Jeans
Cold,Party,Dark,Overcoat + Boots
Hot,Party,Medium,Polo T-shirt + Trousers
Hot,Casual,Light,Cotton Polo + Chinos
Cold,Casual,Dark,Hoodie + Jeans
Rainy,Office,Light,Dark Shirt + Trousers + Raincoat
Rainy,Casual,Medium,Waterproof Jacket + Shorts
Moderate,Wedding,Medium,Traditional Kurta Pajama
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Cold,Office,Dark,Turtleneck + Trousers
Cold,Casual,Light,Puffer Jacket + Chinos
Moderate,Office,Medium,Business Casual Blazer + Chinos
Cold,Gym,Medium,Hoodie + Joggers
Rainy,Party,Light,Short Sleeve Shirt + Dark Jeans
Rainy,Office,Light,Dark Shirt + Trousers + Raincoat
Rainy,Wedding,Light,Dark Suit (Avoid Velvets)
Cold,Casual,Medium,Sweatshirt + Joggers
Rainy,Gym,Light,Synthetic T-shirt + Shorts
Cold,Party,Medium,Overcoat + Boots
Rainy,Wedding,Medium,Dark Suit (Avoid Velvets)
Cold,Gym,Dark,Full Sleeve Dri-Fit + Track Pants
Hot,Party,Medium,Polo T-shirt + Trousers
Moderate,Gym,Light,T-shirt + Track Pants
Hot,Gym,Medium,Dri-Fit Tee + Shorts
Hot,Office,Dark,Cotton Formal Shirt + Chinos
Cold,Party,Dark,Overcoat + Boots
Hot,Gym,Light,Sleeveless Tank + Shorts
Moderate,Gym,Light,T-shirt + Track Pants
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Hot,Office,Light,Linen Shirt + Trousers
Cold,Casual,Dark,Sweatshirt + Joggers
Hot,Casual,Light,T-shirt + Shorts
Rainy,Casual,Dark,Waterproof Jacket + Shorts
Moderate,Gym,Medium,Polyester Tee + Joggers
Moderate,Casual,Dark,Checkered Shirt + Chinos
Moderate,Office,Medium,Business Casual Blazer + Chinos
Hot,Office,Light,Cotton Formal Shirt + Chinos
Cold,Office,Light,Formal Shirt + Sweater
Rainy,Casual,Dark,Waterproof Jacket + Shorts
Cold,Casual,Medium,Hoodie + Jeans
Rainy,Gym,Light,Synthetic T-shirt + Shorts
Hot,Party,Medium,Linen Blazer + T-shirt
Cold,Office,Medium,Formal Shirt + Sweater
Moderate,Office,Medium,Formal Shirt + Trousers
Moderate,Gym,Light,Polyester Tee + Joggers
Moderate,Party,Dark,Casual Blazer + Jeans
Hot,Casual,Dark,Graphic Tee + Cargo Shorts
Hot,Casual,Dark,Cotton Polo + Chinos
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Rainy,Casual,Light,Waterproof Jacket + Shorts
Hot,Casual,Medium,Graphic Tee + Cargo Shorts
Moderate,Wedding,Light,Bandhgala Suit
Rainy,Party,Light,Short Sleeve Shirt + Dark Jeans
Cold,Gym,Light,Full Sleeve Dri-Fit + Track Pants
Cold,Party,Medium,Velvet Blazer + Trousers
Moderate,Office,Light,Formal Shirt + Trousers
Moderate,Gym,Light,Polyester Tee + Joggers
Cold,Casual,Dark,Puffer Jacket + Chinos
Moderate,Office,Medium,Business Casual Blazer + Chinos
Cold,Office,Light,Formal Shirt + Sweater
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Hot,Casual,Dark,T-shirt + Shorts
Rainy,Gym,Medium,Synthetic T-shirt + Shorts
Cold,Wedding,Medium,3-Piece Suit
Hot,Office,Medium,Cotton Formal Shirt + Chinos
Cold,Party,Light,Velvet Blazer + Trousers
Moderate,Casual,Medium,Denim Shirt + Khakis
Cold,Party,Dark,Overcoat + Boots
Hot,Gym,Medium,Sleeveless Tank + Shorts
Hot,Party,Dark,Linen Blazer + T-shirt
Rainy,Wedding,Dark,Dark Suit (Avoid Velvets)
Rainy,Wedding,Medium,Short Kurta + Trousers
Hot,Gym,Medium,Dri-Fit Tee + Shorts
Moderate,Office,Light,Business Casual Blazer + Chinos
Moderate,Party,Medium,Casual Blazer + Jeans
Hot,Gym,Light,Sleeveless Tank + Shorts
Rainy,Casual,Medium,Dark T-shirt + Nylon Pants
Cold,Office,Dark,Suit with Tie
Rainy,Office,Light,Dark Shirt + Trousers + Raincoat
Hot,Office,Dark,Cotton Formal Shirt + Chinos
Cold,Casual,Medium,Puffer Jacket + Chinos
Rainy,Casual,Light,Dark T-shirt + Nylon Pants
Moderate,Office,Dark,Formal Shirt + Trousers
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Hot,Party,Light,Printed Half-Sleeve Shirt + Jeans
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Cold,Casual,Light,Hoodie + Jeans
Moderate,Office,Medium,Formal Shirt + Trousers
Cold,Gym,Medium,Full Sleeve Dri-Fit + Track Pants
Moderate,Gym,Medium,Polyester Tee + Joggers
Rainy,Office,Light,Dark Shirt + Trousers + Raincoat
Hot,Casual,Dark,Graphic Tee + Cargo Shorts
Rainy,Casual,Dark,Dark T-shirt + Nylon Pants
Cold,Wedding,Light,3-Piece Suit
Hot,Casual,Dark,Cotton Polo + Chinos
Moderate,Gym,Dark,T-shirt + Track Pants
Cold,Party,Medium,Leather Jacket + Jeans
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Moderate,Party,Medium,Casual Blazer + Jeans
Hot,Gym,Light,Dri-Fit Tee + Shorts
Rainy,Gym,Medium,Synthetic T-shirt + Shorts
Hot,Wedding,Dark,Light Cotton Kurta
Moderate,Wedding,Light,Waistcoat Set
Moderate,Gym,Light,Polyester Tee + Joggers
Cold,Wedding,Light,Velvet Bandhgala
Cold,Party,Medium,Overcoat + Boots
Rainy,Office,Light,Dark Shirt + Trousers + Raincoat
Hot,Casual,Dark,T-shirt + Shorts
Rainy,Casual,Dark,Dark T-shirt + Nylon Pants
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Cold,Gym,Dark,Full Sleeve Dri-Fit + Track Pants
Hot,Casual,Dark,T-shirt + Shorts
Cold,Office,Medium,Suit with Tie
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Cold,Party,Light,Velvet Blazer + Trousers
Hot,Gym,Light,Sleeveless Tank + Shorts
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Rainy,Wedding,Medium,Dark Suit (Avoid Velvets)
Cold,Wedding,Dark,Velvet Bandhgala
Hot,Casual,Light,Graphic Tee + Cargo Shorts
Cold,Party,Medium,Overcoat + Boots
Cold,Gym,Light,Hoodie + Joggers
Cold,Gym,Light,Hoodie + Joggers
Hot,Wedding,Dark,Linen Suit
Rainy,Casual,Light,Dark T-shirt + Nylon Pants
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Cold,Wedding,Light,Velvet Bandhgala
Rainy,Party,Light,Short Sleeve Shirt + Dark Jeans
Cold,Office,Dark,Formal Shirt + Sweater
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Rainy,Gym,Light,Synthetic T-shirt + Shorts
Cold,Wedding,Medium,3-Piece Suit
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Rainy,Wedding,Light,Dark Suit (Avoid Velvets)
Cold,Gym,Light,Hoodie + Joggers
Moderate,Office,Light,Formal Shirt + Trousers
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Moderate,Office,Medium,Formal Shirt + Trousers
Hot,Party,Medium,Linen Blazer + T-shirt
Moderate,Casual,Light,Denim Shirt + Khakis
Moderate,Office,Medium,Formal Shirt + Trousers
Cold,Office,Medium,Turtleneck + Trousers
Hot,Wedding,Medium,Light Cotton Kurta
Cold,Wedding,Dark,3-Piece Suit
Hot,Office,Medium,Cotton Formal Shirt + Chinos
Cold,Office,Light,Formal Shirt + Sweater
Moderate,Party,Dark,Solid Shirt + Trousers
Rainy,Casual,Dark,Waterproof Jacket + Shorts
Cold,Wedding,Light,3-Piece Suit
Rainy,Wedding,Dark,Dark Suit (Avoid Velvets)
Hot,Party,Light,Linen Blazer + T-shirt
Hot,Gym,Dark,Dri-Fit Tee + Shorts
Cold,Gym,Light,Hoodie + Joggers
Hot,Wedding,Light,Pastel Waistcoat Set
Cold,Office,Medium,Suit with Tie
Hot,Party,Light,Polo T-shirt + Trousers
Hot,Wedding,Dark,Pastel Waistcoat Set
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Moderate,Gym,Dark,Polyester Tee + Joggers
Hot,Office,Light,Cotton Formal Shirt + Chinos
Hot,Office,Medium,Linen Shirt + Trousers
Moderate,Office,Light,Formal Shirt + Trousers
Moderate,Gym,Dark,T-shirt + Track Pants
Cold,Casual,Dark,Sweatshirt + Joggers
Moderate,Casual,Light,Henley + Jeans
Rainy,Gym,Medium,Synthetic T-shirt + Shorts
Hot,Casual,Light,Linen Shirt + Jeans
Hot,Wedding,Light,Pastel Waistcoat Set
Hot,Wedding,Medium,Light Cotton Kurta
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Cold,Casual,Medium,Sweatshirt + Joggers
Cold,Gym,Dark,Hoodie + Joggers
Hot,Party,Dark,Linen Blazer + T-shirt
Moderate,Gym,Medium,Polyester Tee + Joggers
Hot,Office,Dark,Linen Shirt + Trousers
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Moderate,Casual,Dark,Checkered Shirt + Chinos
Cold,Gym,Medium,Full Sleeve Dri-Fit + Track Pants
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Hot,Office,Medium,Linen Shirt + Trousers
Hot,Party,Medium,Printed Half-Sleeve Shirt + Jeans
Hot,Office,Light,Half-Sleeve Formal Shirt
Rainy,Office,Dark,Dark Shirt + Trousers + Raincoat
Moderate,Office,Medium,Formal Shirt + Trousers
Hot,Party,Dark,Printed Half-Sleeve Shirt + Jeans
Hot,Office,Medium,Cotton Formal Shirt + Chinos
Hot,Office,Light,Cotton Formal Shirt + Chinos
Cold,Party,Dark,Overcoat + Boots
Rainy,Casual,Dark,Waterproof Jacket + Shorts
Hot,Casual,Dark,Cotton Polo + Chinos
Hot,Office,Medium,Half-Sleeve Formal Shirt
Moderate,Gym,Light,T-shirt + Track Pants
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Cold,Wedding,Dark,3-Piece Suit
Cold,Office,Dark,Formal Shirt + Sweater
Moderate,Party,Light,Party Wear Shirt + Chinos
Hot,Party,Medium,Linen Blazer + T-shirt
Moderate,Party,Light,Party Wear Shirt + Chinos
Moderate,Wedding,Medium,Waistcoat Set
Hot,Wedding,Medium,Light Cotton Kurta
Moderate,Party,Dark,Casual Blazer + Jeans
Hot,Party,Dark,Linen Blazer + T-shirt
Moderate,Office,Medium,Business Casual Blazer + Chinos
Rainy,Casual,Medium,Dark T-shirt + Nylon Pants
Cold,Casual,Light,Sweatshirt + Joggers
Rainy,Wedding,Dark,Dark Suit (Avoid Velvets)
Rainy,Party,Light,Short Sleeve Shirt + Dark Jeans
Hot,Wedding,Light,Linen Suit
Cold,Office,Medium,Turtleneck + Trousers
Cold,Office,Light,Suit with Tie
Hot,Party,Medium,Linen Blazer + T-shirt
Hot,Party,Dark,Printed Half-Sleeve Shirt + Jeans
Moderate,Gym,Dark,Polyester Tee + Joggers
Moderate,Party,Light,Casual Blazer + Jeans
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Moderate,Party,Medium,Casual Blazer + Jeans
Moderate,Party,Dark,Party Wear Shirt + Chinos
Hot,Party,Light,Linen Blazer + T-shirt
Cold,Party,Medium,Leather Jacket + Jeans
Cold,Gym,Dark,Full Sleeve Dri-Fit + Track Pants
Cold,Casual,Medium,Denim Jacket + Jeans
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Moderate,Casual,Medium,Denim Shirt + Khakis
Moderate,Casual,Light,Henley + Jeans
Cold,Office,Dark,Suit with Tie
Moderate,Wedding,Medium,Bandhgala Suit
Cold,Party,Light,Overcoat + Boots
Rainy,Wedding,Medium,Short Kurta + Trousers
Rainy,Office,Light,Dark Shirt + Trousers + Raincoat
Cold,Wedding,Medium,3-Piece Suit
Cold,Gym,Medium,Full Sleeve Dri-Fit + Track Pants
Moderate,Gym,Light,Polyester Tee + Joggers
Rainy,Wedding,Dark,Dark Suit (Avoid Velvets)
Hot,Party,Light,Polo T-shirt + Trousers
Rainy,Casual,Medium,Waterproof Jacket + Shorts
Rainy,Casual,Light,Dark T-shirt + Nylon Pants
Moderate,Wedding,Dark,Bandhgala Suit
Rainy,Gym,Light,Synthetic T-shirt + Shorts
Hot,Gym,Dark,Dri-Fit Tee + Shorts
Cold,Wedding,Medium,3-Piece Suit
Moderate,Wedding,Medium,Bandhgala Suit
Cold,Office,Dark,Suit with Tie
Cold,Gym,Dark,Full Sleeve Dri-Fit + Track Pants
Cold,Party,Light,Leather Jacket + Jeans
Moderate,Wedding,Dark,Traditional Kurta Pajama
Moderate,Wedding,Dark,Waistcoat Set
Moderate,Wedding,Medium,Traditional Kurta Pajama
Cold,Office,Medium,Formal Shirt + Sweater
Rainy,Office,Medium,Dark Shirt + Trousers + Raincoat
Moderate,Wedding,Medium,Bandhgala Suit
Moderate,Office,Dark,Business Casual Blazer + Chinos
Cold,Casual,Dark,Hoodie + Jeans
Hot,Office,Light,Half-Sleeve Formal Shirt
Cold,Casual,Medium,Hoodie + Jeans
Rainy,Party,Light,Short Sleeve Shirt + Dark Jeans
Cold,Wedding,Light,3-Piece Suit
Cold,Gym,Medium,Hoodie + Joggers
Moderate,Party,Light,Party Wear Shirt + Chinos
Hot,Party,Light,Linen Blazer + T-shirt
Rainy,Party,Dark,Short Sleeve Shirt + Dark Jeans
Hot,Wedding,Light,Pastel Waistcoat Set
Moderate,Casual,Light,Checkered Shirt + Chinos
Hot,Party,Medium,Printed Half-Sleeve Shirt + Jeans
Rainy,Wedding,Light,Dark Suit (Avoid Velvets)
Moderate,Office,Light,Business Casual Blazer + Chinos
Cold,Office,Dark,Turtleneck + Trousers
Rainy,Gym,Light,Synthetic T-shirt + Shorts
Moderate,Gym,Medium,T-shirt + Track Pants
Rainy,Casual,Dark,Waterproof Jacket + Shorts
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Rainy,Gym,Medium,Synthetic T-shirt + Shorts
Hot,Gym,Light,Sleeveless Tank + Shorts
Hot,Wedding,Light,Pastel Waistcoat Set
Hot,Casual,Dark,Linen Shirt + Jeans
Cold,Casual,Light,Puffer Jacket + Chinos
Moderate,Gym,Medium,T-shirt + Track Pants
Rainy,Gym,Dark,Synthetic T-shirt + Shorts
Rainy,Casual,Dark,Waterproof Jacket + Shorts
Cold,Office,Dark,Turtleneck + Trousers
Moderate,Office,Medium,Business Casual Blazer + Chinos
Cold,Gym,Light,Hoodie + Joggers
Moderate,Office,Light,Formal Shirt + Trousers
Moderate,Wedding,Light,Traditional Kurta Pajama
Cold,Office,Dark,Suit with Tie
Hot,Office,Medium,Cotton Formal Shirt + Chinos
Hot,Party,Light,Polo T-shirt + Trousers
Moderate,Office,Medium,Business Casual Blazer + Chinos
Moderate,Office,Light,Formal Shirt + Trousers
Moderate,Office,Medium,Formal Shirt + Trousers
Rainy,Office,Dark,Dark Shirt + Trousers + Raincoat
Moderate,Gym,Dark,T-shirt + Track Pants
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Cold,Wedding,Medium,Velvet Bandhgala
Cold,Office,Dark,Formal Shirt + Sweater
Hot,Casual,Dark,T-shirt + Shorts
Cold,Gym,Dark,Hoodie + Joggers
Rainy,Party,Medium,Short Sleeve Shirt + Dark Jeans
Cold,Gym,Medium,Full Sleeve Dri-Fit + Track Pants
Hot,Casual,Dark,Linen Shirt + Jeans
